reader,reader_os,writer,writer_os,backend,table_type,status,details
ngio05_v3,linux,ngio05_v2,linux,parquet,masking_roi_table,success,
ngio05_v2,linux,ngio05_v3,linux,anndata,feature_table,success,
ngio05_v2,linux,ngio05_v3,linux,anndata,roi_table,success,
ngio05_v2,linux,ngio05_v3,linux,anndata,masking_roi_table,success,
ngio05_v2,linux,ngio05_v3,linux,json,feature_table,success,
ngio05_v2,linux,ngio05_v3,linux,json,roi_table,success,
ngio05_v2,linux,ngio05_v3,linux,json,masking_roi_table,success,
ngio05_v2,linux,ngio05_v3,linux,csv,feature_table,success,
ngio05_v2,linux,ngio05_v3,linux,csv,roi_table,success,
ngio05_v2,linux,ngio05_v3,linux,csv,masking_roi_table,success,
ngio05_v2,linux,ngio05_v3,linux,parquet,feature_table,success,
ngio05_v2,linux,ngio05_v3,linux,parquet,roi_table,success,
ngio05_v2,linux,ngio05_v3,linux,parquet,masking_roi_table,success,
ngio05_v2,linux,ngio04,linux,anndata,feature_table,success,
ngio05_v2,linux,ngio04,linux,anndata,roi_table,success,
ngio05_v2,linux,ngio04,linux,anndata,masking_roi_table,success,
ngio05_v2,linux,ngio04,linux,json,feature_table,success,
ngio05_v2,linux,ngio04,linux,json,roi_table,success,
ngio05_v2,linux,ngio04,linux,json,masking_roi_table,success,
ngio05_v2,linux,ngio04,linux,csv,feature_table,success,
ngio05_v2,linux,ngio04,linux,csv,roi_table,success,
ngio05_v2,linux,ngio04,linux,csv,masking_roi_table,success,
ngio05_v2,linux,ngio04,linux,parquet,feature_table,success,
ngio05_v2,linux,ngio04,linux,parquet,roi_table,success,
ngio05_v2,linux,ngio04,linux,parquet,masking_roi_table,success,
ngio05_v2,linux,ngio05_v2,linux,anndata,feature_table,success,
ngio05_v2,linux,ngio05_v2,linux,anndata,roi_table,success,
ngio05_v2,linux,ngio05_v2,linux,anndata,masking_roi_table,success,
ngio05_v2,linux,ngio05_v2,linux,json,feature_table,success,
ngio05_v2,linux,ngio05_v2,linux,json,roi_table,success,
ngio05_v2,linux,ngio05_v2,linux,json,masking_roi_table,success,
ngio05_v2,linux,ngio05_v2,linux,csv,feature_table,success,
ngio05_v2,linux,ngio05_v2,linux,csv,roi_table,success,
ngio05_v2,linux,ngio05_v2,linux,csv,masking_roi_table,success,
ngio05_v2,linux,ngio05_v2,linux,parquet,feature_table,success,
ngio05_v2,linux,ngio05_v2,linux,parquet,roi_table,success,
ngio05_v2,linux,ngio05_v2,linux,parquet,masking_roi_table,success,
